OPERADOR,ID OPERADOR,ID SERVICIO ORBYTA,CLIENTE/USO,DIRECCION,"CAPACIDAD(mbps)",ORDEN DE COMPRA,ESTA VIGENTE,MONEDA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO,FACTURA,NETO,FACTURA,NETO,FACTURA,FACTURA,NETO
ENTEL,10000182636,12-0013-093,COLEGIOS DUNALASTAIR VALLE NORTE S.A.,Av Las Condes 11931,100,1501,SI,UF,,,,6.7,17608095,6.7,"17663201",6.7,17714499,6.7,17768872,6.7,17823836,6.7,17879154,6.7,17953361,6.7,18008672,6.7,18047299,6.7,18123630,6.7,18183303,6.7,18226050,6.7,18283989,6.7,18346634,6.7,18403789,6.7,18465213,6.7,18543504,6.7,18630119,6.7,18671967,6.7,18731482,6.7,18794008,6.7,18839347,6.7,18919648,6.7,18996840,6.7,19047133,6.7,19137376,6.7,19162082,6.7,19223788,6.7,,
ENTEL,10000184160,12-0013-094,COLEGIOS DUNALASTAIR VALLE NORTE S.A.,Quilin 8669,100,1502,SI,UF,,,,6.7,17608095,6.7,"17663201",6.7,17714499,6.7,17768872,6.7,17823836,6.7,17879154,6.7,17953361,6.7,18008672,6.7,18047299,6.7,18123630,6.7,18183303,6.4,18226050,6.7,18283989,6.7,18346634,6.7,18403789,6.7,18465213,6.7,18543504,6.7,18630119,6.7,18671967,6.7,18731482,6.7,18794008,6.7,18839347,6.7,18919648,6.7,18996840,6.7,19047133,6.7,19137376,6.7,19162082,6.7,19223788,6.7,,
UFINET,CLCLORB10000001I,19-0324-027,BPO Advisors SpA,Intenet 100/30 Mbps Av del valle 928 (1:4). 5 IP Disponibles [6.80 UFF],,2222,SI,UF,,,,,131668,6.8,132127,6.8,132534,6.8,132984,6.8,133440,6.8,133904,6.8,134389,6.8,134878,6.81,135358,6.8,135840,6.8,136278,6.81,136711,6.83,137146,6.8,5778,6.8,5778,6.8,5872,6.8,5941,6.8,6046,6.8,6166,6.8,6298,6.8,6424,6.8,6547,6.8,6678,6.8,6802,6.8,6942,6.8,7090,6.8,7198,6.8,7310,6.8,7420,6.8
ENTEL,10000200707,13-0012-106,Orbyta Nodo Ioffice,Almirante Pastene 185,100,350,SI,UF,,,,9.15,17608095,9.15,"17663201",9.15,17714499,9.15,17768872,9.15,17823836,9.15,17879154,9.15,17953361,9.15,18008672,9.15,18047299,9.15,18123630,9.15,18183303,9.15,18226050,9.15,18283989,9.15,18346634,9.15,18403789,9.15,18465213,9.15,18543504,9.2,18630119,9.2,18671967,9.2,18731482,9.2,18794008,9.2,18839347,9.2,18919648,9.2,18996840,9.2,19047133,9.2,19137376,9.2,19162082,9.15,19223788,9.2,,
CLARO,02-25-0010251165,17-0214-011,Televisión Nacional de Chile,Francisco de Aguirre 550 La Serena,50,1839,SI,UF,,6.3,13173734,6.3,13181181,6.3,13188424,6.3,13195738,6.3,13356832,6.3,13364177,6.3,13371416,6.3,13378619,6.3,13586008,6.3,13593097,6.3,13600135,6.3,13830817,6.3,13837781,6.3,13844769,6.3,13851710,6.3,14020342,6.3,14027254,6.3,14034243,6.3,14041209,6.3,14407670,6.3,14414674,6.3,14421586,6.3,14428479,6.3,14635480,6.3,14642620,6.3,14649638,6.3,14656417,6.3,14953230,6.3,,,,
CLARO,02-25-0010251166,17-0214-010,Televisión Nacional de Chile,Henriquez 393 Copiapo,50,1839,SI,UF,,6.3,13173734,6.3,13181181,6.3,13188424,6.3,13195738,6.3,13356832,6.3,13364177,6.3,13371416,6.3,13378619,6.3,13586008,6.3,13593097,6.3,13600135,6.3,13830817,6.3,13837781,6.3,13844769,6.3,13851710,6.3,14020342,6.3,14027254,6.3,14034243,6.3,14041209,6.3,14407670,6.3,14414674,6.3,14421586,6.3,14428479,6.3,14635480,6.3,14642620,6.3,14649638,6.3,14656417,6.3,14953230,6.3,,,,
CLARO,02-25-0010251167,17-0214-019,Televisión Nacional de Chile,Tarapaca 2118 Calama,50,1839,SI,UF,,6.9,13173734,6.9,13181181,6.9,13188424,6.9,13195738,6.9,13356832,6.9,13364177,6.9,13371416,6.9,13378619,6.9,13586008,6.9,13593097,6.9,13600135,6.9,13830817,6.9,13837781,6.9,13844769,6.9,13851710,6.9,14020342,6.9,14027254,6.9,14034243,6.9,14041209,6.9,14407670,6.9,14414674,6.9,14421586,6.9,14428479,6.9,14635480,6.9,14642620,6.9,14649638,6.9,14656417,6.9,14953230,6.9,,,,
CLARO,02-25-0010251167,17-0214-027,TVN,,,2886,NO,UF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14020342,185.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARO,02-25-0010251168,17-0214-009,Televisión Nacional de Chile,Navidad 185 Antofagasta,50,1839,NO,UF,,6.3,13173734,6.3,13181181,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARO,02-25-0010343442,21-0176-003,Inversiones Ipcom Chile Limitada,IPCOM,100,2482,SI,UF,,8.92,13173734,7.92,13181181,7.92,13188424,7.92,13195738,7.92,13356832,7.92,13364177,7.92,13371416,7.92,13378619,7.92,13586008,7.92,13593097,7.92,13600135,7.9,13830817,7.92,13837781,7.9,13844769,7.9,13851710,7.9,14020342,7.9,14027254,7.9,14034243,7.9,14041209,7.9,14407670,7.9,14414674,7.9,14421586,7.9,14428479,7.9,14635480,7.9,14642620,7.9,14649638,7.9,14656417,7.92,14953230,7.9,,,,
